Date,Close,Hour
2021-11-29,0.2051,3
2021-11-29,0.2045,4
2021-11-29,0.2053,5
2021-11-29,0.2071,6
2021-11-29,0.2067,7
2021-11-29,0.2055,8
2021-11-29,0.2033,9
2021-11-29,0.205,10
2021-11-29,0.2037,11
2021-11-29,0.2042,12
2021-11-29,0.2198,13
2021-11-29,0.2152,14
2021-11-29,0.2153,15
2021-11-29,0.2143,16
2021-11-29,0.2158,17
2021-11-29,0.2167,18
2021-11-29,0.215,19
2021-11-29,0.2155,20
2021-11-29,0.2176,21
2021-11-29,0.2154,22
2021-11-29,0.215,23
2021-11-30,0.221,0
2021-11-30,0.2165,1
2021-11-30,0.2172,2
2021-11-30,0.2217,3
2021-11-30,0.2235,4
2021-11-30,0.2168,5
2021-11-30,0.2181,6
2021-11-30,0.2163,7
2021-11-30,0.2168,8
2021-11-30,0.2166,9
2021-11-30,0.2184,10
